Wavelength    Read Noise      Sky           Dark          A_Eff        BEF           Disp_Width    XDisp_Width
(Angstroms) (Cnt/Exposure) (Cnt/s/res)   (Cnt/s/res)      (cm^2)  (Erg/cm^2/s/res)   (N_resels)     (N_resels)
 919.7183          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.82         3.34
 919.7747          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.82         3.34
 919.8310          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.82         3.34
 919.8873          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.81         3.34
 919.9437          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.81         3.34
 920.0000          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.81         3.34
 920.0563          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.81         3.34
 920.1127          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.81         3.34
 920.1690          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.81         3.34
 920.2253          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.81         3.34
 920.2817          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.80         3.34
 920.3380          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.80         3.34
 920.3944          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.80         3.34
 920.4507          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.80         3.34
 920.5071          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.80         3.34
 920.5634          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.80         3.34
 920.6198          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.80         3.34
 920.6761          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.80         3.34
 920.7324          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.79         3.33
 920.7888          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.79         3.33
 920.8451          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.79         3.33
 920.9014          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.79         3.33
 920.9578          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.79         3.33
 921.0141          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.79         3.33
 921.0704          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.79         3.33
 921.1268          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.78         3.33
 921.1831          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.78         3.33
 921.2394          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.78         3.33
 921.2958          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.78         3.33
 921.3521          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.78         3.33
 921.4084          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.78         3.33
 921.4648          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.78         3.33
 921.5211          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.77         3.33
 921.5775          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.77         3.33
 921.6338          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.77         3.33
 921.6901          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.77         3.33
 921.7465          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.77         3.33
 921.8029          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.77         3.33
 921.8592          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.77         3.33
 921.9155          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.76         3.33
 921.9719          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.76         3.33
 922.0282          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.76         3.33
 922.0845          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.76         3.33
