Wavelength    Read Noise      Sky           Dark          A_Eff        BEF           Disp_Width    XDisp_Width
(Angstroms) (Cnt/Exposure) (Cnt/s/res)   (Cnt/s/res)      (cm^2)  (Erg/cm^2/s/res)   (N_resels)     (N_resels)
2000.0000         36.00      4.82e-10      1.39e-06     22208.1      6.22e-22         1.63         1.75
2000.0695         36.00      4.83e-10      1.39e-06     22225.3      6.21e-22         1.63         1.75
2000.1390         36.00      4.84e-10      1.39e-06     22242.5      6.21e-22         1.63         1.75
2000.2085         36.00      4.86e-10      1.39e-06     22259.7      6.20e-22         1.63         1.75
2000.2781         36.00      4.87e-10      1.39e-06     22277.0      6.20e-22         1.63         1.75
2000.3475         36.00      4.88e-10      1.39e-06     22294.2      6.19e-22         1.63         1.75
2000.4171         36.00      4.90e-10      1.39e-06     22311.4      6.19e-22         1.63         1.75
2000.4866         36.00      4.91e-10      1.39e-06     22328.6      6.18e-22         1.63         1.75
2000.5562         36.00      4.92e-10      1.39e-06     22345.9      6.18e-22         1.63         1.75
2000.6256         36.00      4.93e-10      1.39e-06     22363.1      6.17e-22         1.63         1.75
2000.6952         36.00      4.95e-10      1.39e-06     22380.3      6.17e-22         1.63         1.75
2000.7646         36.00      4.96e-10      1.39e-06     22397.5      6.16e-22         1.63         1.75
2000.8342         36.00      4.97e-10      1.39e-06     22414.7      6.16e-22         1.63         1.75
2000.9037         36.00      4.99e-10      1.39e-06     22431.9      6.15e-22         1.63         1.75
2000.9733         36.00      5.00e-10      1.39e-06     22449.2      6.15e-22         1.63         1.75
2001.0427         36.00      5.01e-10      1.39e-06     22466.5      6.14e-22         1.63         1.75
2001.1123         36.00      5.02e-10      1.39e-06     22483.9      6.14e-22         1.63         1.75
2001.1818         36.00      5.04e-10      1.39e-06     22501.2      6.13e-22         1.63         1.75
2001.2513         36.00      5.05e-10      1.39e-06     22518.6      6.13e-22         1.63         1.75
2001.3208         36.00      5.06e-10      1.39e-06     22535.9      6.12e-22         1.63         1.75
2001.3904         36.00      5.08e-10      1.39e-06     22553.3      6.12e-22         1.63         1.75
2001.4598         36.00      5.09e-10      1.39e-06     22570.7      6.11e-22         1.63         1.75
2001.5294         36.00      5.10e-10      1.39e-06     22588.0      6.11e-22         1.63         1.75
2001.5989         36.00      5.12e-10      1.39e-06     22605.4      6.10e-22         1.63         1.75
2001.6685         36.00      5.13e-10      1.39e-06     22622.8      6.10e-22         1.63         1.75
2001.7379         36.00      5.14e-10      1.39e-06     22640.1      6.09e-22         1.63         1.75
2001.8075         36.00      5.16e-10      1.39e-06     22657.5      6.09e-22         1.63         1.75
2001.8770         36.00      5.17e-10      1.39e-06     22674.9      6.08e-22         1.63         1.75
2001.9465         36.00      5.18e-10      1.39e-06     22692.2      6.08e-22         1.63         1.75
2002.0160         36.00      5.20e-10      1.39e-06     22709.6      6.07e-22         1.63         1.75
2002.0856         36.00      5.21e-10      1.39e-06     22727.1      6.07e-22         1.63         1.75
2002.1550         36.00      5.22e-10      1.39e-06     22744.6      6.06e-22         1.63         1.75
2002.2246         36.00      5.24e-10      1.39e-06     22762.1      6.06e-22         1.63         1.75
2002.2941         36.00      5.25e-10      1.39e-06     22779.6      6.06e-22         1.63         1.75
2002.3636         36.00      5.26e-10      1.39e-06     22797.1      6.05e-22         1.63         1.74
2002.4331         36.00      5.28e-10      1.39e-06     22814.6      6.05e-22         1.63         1.74
2002.5027         36.00      5.29e-10      1.39e-06     22832.1      6.04e-22         1.63         1.74
2002.5721         36.00      5.30e-10      1.39e-06     22849.6      6.04e-22         1.63         1.74
2002.6417         36.00      5.32e-10      1.39e-06     22867.1      6.03e-22         1.63         1.74
2002.7112         36.00      5.33e-10      1.39e-06     22884.6      6.03e-22         1.63         1.74
2002.7808         36.00      5.35e-10      1.39e-06     22902.1      6.02e-22         1.63         1.74
2002.8502         36.00      5.36e-10      1.39e-06     22919.6      6.02e-22         1.63         1.74
2002.9198         36.00      5.37e-10      1.39e-06     22937.1      6.01e-22         1.63         1.74
2002.9893         36.00      5.39e-10      1.39e-06     22954.6      6.01e-22         1.63         1.74
2003.0588         36.00      5.40e-10      1.39e-06     22972.2      6.00e-22         1.63         1.74
2003.1283         36.00      5.41e-10      1.39e-06     22989.9      6.00e-22         1.63         1.74
2003.1979         36.00      5.43e-10      1.39e-06     23007.5      5.99e-22         1.63         1.74
2003.2673         36.00      5.44e-10      1.39e-06     23025.2      5.99e-22         1.63         1.74
2003.3369         36.00      5.46e-10      1.39e-06     23042.8      5.98e-22         1.63         1.74
2003.4064         36.00      5.47e-10      1.39e-06     23060.5      5.98e-22         1.63         1.74
2003.4760         36.00      5.49e-10      1.39e-06     23078.1      5.97e-22         1.63         1.74
2003.5454         36.00      5.50e-10      1.39e-06     23095.8      5.97e-22         1.63         1.74
2003.6150         36.00      5.51e-10      1.39e-06     23113.4      5.96e-22         1.63         1.74
2003.6844         36.00      5.53e-10      1.39e-06     23131.1      5.96e-22         1.63         1.74
2003.7540         36.00      5.54e-10      1.39e-06     23148.7      5.95e-22         1.63         1.74
2003.8235         36.00      5.56e-10      1.39e-06     23166.4      5.95e-22         1.63         1.74
2003.8931         36.00      5.57e-10      1.39e-06     23184.0      5.94e-22         1.63         1.74
2003.9625         36.00      5.59e-10      1.39e-06     23201.7      5.94e-22         1.63         1.74
2004.0321         36.00      5.60e-10      1.39e-06     23219.4      5.94e-22         1.63         1.74
2004.1016         36.00      5.62e-10      1.39e-06     23237.2      5.93e-22         1.63         1.74
2004.1711         36.00      5.63e-10      1.39e-06     23255.0      5.93e-22         1.63         1.74
2004.2406         36.00      5.65e-10      1.39e-06     23272.7      5.92e-22         1.63         1.74
2004.3102         36.00      5.66e-10      1.39e-06     23290.5      5.92e-22         1.63         1.74
2004.3796         36.00      5.68e-10      1.39e-06     23308.3      5.91e-22         1.63         1.74
2004.4492         36.00      5.69e-10      1.39e-06     23326.1      5.91e-22         1.63         1.74
2004.5187         36.00      5.70e-10      1.39e-06     23343.9      5.90e-22         1.63         1.74
2004.5883         36.00      5.72e-10      1.39e-06     23361.7      5.90e-22         1.63         1.74
2004.6577         36.00      5.73e-10      1.39e-06     23379.4      5.89e-22         1.63         1.74
2004.7273         36.00      5.75e-10      1.39e-06     23397.2      5.89e-22         1.63         1.74
2004.7968         36.00      5.76e-10      1.39e-06     23415.0      5.88e-22         1.63         1.74
2004.8663         36.00      5.78e-10      1.39e-06     23432.8      5.88e-22         1.63         1.73
2004.9358         36.00      5.79e-10      1.39e-06     23450.6      5.87e-22         1.63         1.73
2005.0054         36.00      5.81e-10      1.39e-06     23468.4      5.87e-22         1.63         1.73
2005.0748         36.00      5.82e-10      1.39e-06     23486.3      5.87e-22         1.63         1.73
2005.1444         36.00      5.84e-10      1.39e-06     23504.2      5.86e-22         1.63         1.73
2005.2139         36.00      5.85e-10      1.39e-06     23522.2      5.86e-22         1.63         1.73
2005.2834         36.00      5.87e-10      1.39e-06     23540.1      5.85e-22         1.63         1.73
2005.3529         36.00      5.88e-10      1.39e-06     23558.0      5.85e-22         1.63         1.73
2005.4225         36.00      5.90e-10      1.39e-06     23576.0      5.84e-22         1.63         1.73
2005.4919         36.00      5.91e-10      1.39e-06     23593.9      5.84e-22         1.63         1.73
2005.5615         36.00      5.92e-10      1.39e-06     23611.8      5.83e-22         1.63         1.73
2005.6310         36.00      5.94e-10      1.39e-06     23629.7      5.83e-22         1.63         1.73
2005.7006         36.00      5.95e-10      1.39e-06     23647.7      5.82e-22         1.63         1.73
2005.7700         36.00      5.97e-10      1.39e-06     23665.6      5.82e-22         1.63         1.73
2005.8396         36.00      5.98e-10      1.39e-06     23683.5      5.81e-22         1.63         1.73
2005.9091         36.00      6.00e-10      1.39e-06     23701.4      5.81e-22         1.63         1.73
2005.9786         36.00      6.01e-10      1.39e-06     23719.4      5.80e-22         1.63         1.73
2006.0481         36.00      6.03e-10      1.39e-06     23737.4      5.80e-22         1.63         1.73
2006.1177         36.00      6.04e-10      1.39e-06     23755.5      5.80e-22         1.63         1.73
2006.1871         36.00      6.06e-10      1.39e-06     23773.6      5.79e-22         1.63         1.73
2006.2567         36.00      6.07e-10      1.39e-06     23791.6      5.79e-22         1.63         1.73
2006.3262         36.00      6.09e-10      1.39e-06     23809.7      5.78e-22         1.63         1.73
2006.3958         36.00      6.10e-10      1.39e-06     23827.8      5.78e-22         1.63         1.73
2006.4652         36.00      6.12e-10      1.39e-06     23845.9      5.77e-22         1.63         1.73
2006.5348         36.00      6.13e-10      1.39e-06     23863.9      5.77e-22         1.62         1.73
2006.6042         36.00      6.15e-10      1.39e-06     23882.0      5.76e-22         1.62         1.73
2006.6738         36.00      6.16e-10      1.39e-06     23900.1      5.76e-22         1.62         1.73
2006.7433         36.00      6.18e-10      1.39e-06     23918.2      5.75e-22         1.62         1.73
2006.8129         36.00      6.19e-10      1.39e-06     23936.2      5.75e-22         1.62         1.73
2006.8823         36.00      6.21e-10      1.39e-06     23954.3      5.75e-22         1.62         1.73
2006.9519         36.00      6.22e-10      1.39e-06     23972.4      5.74e-22         1.62         1.73
2007.0214         36.00      6.24e-10      1.39e-06     23990.5      5.74e-22         1.62         1.73
2007.0909         36.00      6.25e-10      1.39e-06     24008.7      5.73e-22         1.62         1.73
2007.1604         36.00      6.26e-10      1.39e-06     24026.9      5.73e-22         1.62         1.73
2007.2300         36.00      6.28e-10      1.39e-06     24045.2      5.72e-22         1.62         1.73
2007.2994         36.00      6.29e-10      1.39e-06     24063.4      5.72e-22         1.62         1.73
2007.3690         36.00      6.31e-10      1.39e-06     24081.6      5.71e-22         1.62         1.72
2007.4385         36.00      6.32e-10      1.39e-06     24099.8      5.71e-22         1.62         1.72
2007.5081         36.00      6.34e-10      1.39e-06     24118.1      5.70e-22         1.62         1.72
2007.5775         36.00      6.35e-10      1.39e-06     24136.3      5.70e-22         1.62         1.72
2007.6471         36.00      6.37e-10      1.39e-06     24154.5      5.70e-22         1.62         1.72
2007.7166         36.00      6.38e-10      1.39e-06     24172.7      5.69e-22         1.62         1.72
2007.7861         36.00      6.40e-10      1.39e-06     24190.9      5.69e-22         1.62         1.72
2007.8556         36.00      6.41e-10      1.39e-06     24209.2      5.68e-22         1.62         1.72
2007.9252         36.00      6.43e-10      1.39e-06     24227.4      5.68e-22         1.62         1.72
2007.9946         36.00      6.44e-10      1.39e-06     24245.6      5.67e-22         1.62         1.72
2008.0642         36.00      6.46e-10      1.39e-06     24264.0      5.67e-22         1.62         1.72
2008.1337         36.00      6.47e-10      1.39e-06     24282.3      5.66e-22         1.62         1.72
2008.2032         36.00      6.49e-10      1.39e-06     24300.7      5.66e-22         1.62         1.72
2008.2727         36.00      6.50e-10      1.39e-06     24319.0      5.66e-22         1.62         1.72
2008.3423         36.00      6.52e-10      1.39e-06     24337.4      5.65e-22         1.62         1.72
2008.4117         36.00      6.53e-10      1.39e-06     24355.7      5.65e-22         1.62         1.72
2008.4813         36.00      6.54e-10      1.39e-06     24374.1      5.64e-22         1.62         1.72
2008.5508         36.00      6.56e-10      1.39e-06     24392.5      5.64e-22         1.62         1.72
2008.6204         36.00      6.57e-10      1.39e-06     24410.8      5.63e-22         1.62         1.72
2008.6898         36.00      6.59e-10      1.39e-06     24429.2      5.63e-22         1.62         1.72
2008.7594         36.00      6.60e-10      1.39e-06     24447.6      5.62e-22         1.62         1.72
2008.8289         36.00      6.61e-10      1.39e-06     24465.9      5.62e-22         1.62         1.72
2008.8984         36.00      6.63e-10      1.39e-06     24484.3      5.62e-22         1.62         1.72
2008.9679         36.00      6.64e-10      1.39e-06     24502.6      5.61e-22         1.62         1.72
2009.0375         36.00      6.66e-10      1.39e-06     24521.1      5.61e-22         1.62         1.72
